#Site	Status	Area	Rep	Snails	Snail Biomass	Juvenile Fiddler Crabs	JFC Biomass	Adult Fiddler Crabs	AFC Biomass	Mussels	Mussel Recruits	Mussel Biomass	Mud Crabs	Mud Crab Biomass	Sesarma	Sesarma Biomass	InvertBiomass	Proportion Sesarma
BL	Ungrazed	Border	7	0	0	22	0.44	5	0.55	27	2	15.95	2	0.9	0	0	17.84	0
BL	Ungrazed	Border	8	0	0	25	0.5	6	0.66	14	0	7.7	1	0.45	0	0	9.31	0
BR	Ungrazed	Border	1	3	0.039	28	0.56	4	0.44	39	3	23.1	4	1.8	0	0	25.939	0
BR	Ungrazed	Border	2	5	0.065	24	0.48	6	0.66	18	1	10.45	1	0.45	0	0	12.105	0
BR	Ungrazed	Border	3	0	0	12	0.24	5	0.55	29	3	17.6	3	1.35	0	0	19.74	0
BR	Ungrazed	Border	4	4	0.052	24	0.48	5	0.55	35	2	20.35	4	1.8	0	0	23.232	0
BR	Ungrazed	Border	5	0	0	7	0.14	3	0.33	44	3	25.85	3	1.35	1	0.24	27.91	0.009
BR	Ungrazed	Border	6	0	0	28	0.56	2	0.22	21	2	12.65	3	1.35	0	0	14.78	0
BR	Ungrazed	Border	7	0	0	7	0.14	3	0.33	19	1	11	3	1.35	0	0	12.82	0
BR	Ungrazed	Border	8	0	0	44	0.88	5	0.55	14	0	7.7	1	0.45	0	0	9.58	0
BW	Ungrazed	Border	1	2	0.026	20	0.4	6	0.66	24	1	13.75	2	0.9	0	0	15.736	0
BW	Ungrazed	Border	2	0	0	1	0.02	4	0.44	12	0	6.6	2	0.9	0	0	7.96	0
BW	Ungrazed	Border	3	0	0	12	0.24	3	0.33	20	0	11	2	0.9	0	0	12.47	0
BW	Ungrazed	Border	4	1	0.013	21	0.42	5	0.55	8	0	4.4	1	0.45	0	0	5.833	0
BW	Ungrazed	Border	5	1	0.013	20	0.4	9	0.99	27	1	15.4	2	0.9	0	0	17.703	0
BW	Ungrazed	Border	6	0	0	25	0.5	4	0.44	8	1	4.95	1	0.45	0	0	6.34	0
BW	Ungrazed	Border	7	0	0	20	0.4	7	0.77	38	3	22.55	3	1.35	0	0	25.07	0
BW	Ungrazed	Border	8	0	0	8	0.16	2	0.22	31	0	17.05	2	0.9	0	0	18.33	0
JI	Ungrazed	Border	1	0	0	10	0.2	5	0.55	24	1	13.75	2	0.9	0	0	15.4	0
JI	Ungrazed	Border	2	1	0.013	13	0.26	3	0.33	19	0	10.45	3	1.35	0	0	12.403	0
JI	Ungrazed	Border	3	5	0.065	30	0.6	3	0.33	17	0	9.35	1	0.45	0	0	10.795	0
JI	Ungrazed	Border	4	3	0.039	16	0.32	5	0.55	38	1	21.45	2	0.9	0	0	23.259	0
JI	Ungrazed	Border	5	0	0	18	0.36	6	0.66	12	0	6.6	1	0.45	0	0	8.07	0
